,Title[1][2],Developer(s),Publisher(s)[1][2][3],Publisher(s)[1][2][3],Release date,Release date
,Title[1][2],Developer(s),North America,Europe / PAL,North America[1][2][3],Europe / PAL[4]
0,The 3-D Battles of WorldRunner,Square,Acclaim Entertainment,Unreleased,September 1987,Unreleased
1,8 Eyes,Thinking Rabbit,Taxan,Unreleased,January 1990,Unreleased
2,10-Yard Fight,Irem,Nintendo,Nintendo,"October 18, 1985","December 6, 1986"
3,720°,Beam Software,Mindscape,Unreleased,November 1989,Unreleased
4,1942,Micronics,Capcom,Unreleased,"November 1, 1986",Unreleased
5,1943: The Battle of Midway,Capcom,Capcom,Unreleased,October 1988,Unreleased
6,Abadox: The Deadly Inner War,Natsume,Milton Bradley Company,Unreleased,March 1990,Unreleased
7,The Addams Family,Ocean Software,Ocean Software,Ocean Software,January 1992,December 1992
8,The Addams Family: Pugsley's Scavenger Hunt,Enigma Variations,Ocean Software,Ocean Software,August 1993,1992
9,Advanced Dungeons & Dragons: DragonStrike,Westwood Associates,FCI,Unreleased,July 1992,Unreleased
10,Advanced Dungeons & Dragons: Heroes of the Lance,Natsume,FCI,Unreleased,January 1991,Unreleased
11,Advanced Dungeons & Dragons: Hillsfar,Crosstalk,FCI,Unreleased,February 1993,Unreleased
12,Advanced Dungeons & Dragons: Pool of Radiance,"Marionette, SRS",FCI,Unreleased,April 1992,Unreleased
13,Adventure Island (NA)Adventure Island Classic (EU)Adventure Island Classic in the Pacific (FR),Hudson Soft,Hudson Soft,Hudson Soft,September 1988,1992
14,Adventure Island II (NA)The Adventure Island Part II (EU),Now Production,Hudson Soft,Hudson Soft,February 1991,"July 22, 1992"
15,Adventure Island 3,Now Production,Hudson Soft,Unreleased,September 1992,Unreleased
16,Adventures in the Magic Kingdom,Capcom,Capcom,Capcom,June 1990,"December 10, 1992"
17,The Adventures of Bayou Billy,Konami,Konami,Konami,June 1989,"January 24, 1991"
18,Adventures of Dino Riki,Hudson Soft,Hudson Soft,Unreleased,September 1989,Unreleased
19,The Adventures of Gilligan's Island,Human Entertainment,Bandai,Unreleased,July 1990,Unreleased
20,Adventures of Lolo,HAL Laboratory,HAL America,HAL Laboratory,April 1989,"February 21, 1991"
21,Adventures of Lolo 2,HAL Laboratory,HAL America,HAL Laboratory,March 1990,1991
22,Adventures of Lolo 3,HAL Laboratory,HAL America,HAL Laboratory,"November 21, 1991","May 27, 1992"
23,The Adventures of Rad Gravity,Interplay Productions,Activision,Activision,December 1990,"May 30, 1991"
24,The Adventures of Rocky and Bullwinkle and Friends,Radical Entertainment,THQ,Unreleased,December 1992,Unreleased
25,Adventures of Tom Sawyer,Winkysoft,SETA,Unreleased,August 1989,Unreleased
26,Air Fortress,HAL Laboratory,HAL America,HAL Laboratory,September 1989,1989
27,Airwolf,Beam Software,Acclaim Entertainment,Acclaim Entertainment,June 1989,August 1988
28,Al Unser Jr.'s Turbo Racing (NA)Turbo Racing (EU),Data East,Data East,Data East,March 1990,1991
29,Alex Demeo's Race America (NA)Corvette ZR-1 Challenge (EU),Imagineering,Absolute Entertainment,Milton Bradley Company,May 1992,1990
30,Alfred Chicken,Twilight,Mindscape,Mindscape,February 1994,1993
31,Alien 3,Probe Software,LJN,LJN,March 1993,1993
