,Title(s),Cancellation date,Developer,Publisher
0,The Addams Family 2,1993[6],Ocean,Ocean
1,Aero the Acro-Bat,1992[7],Iguana Entertainment,Sunsoft
2,Bio Force Ape,1992[8],SETA Corporation,SETA Corporation
3,Black Tiger,August 1988[9],Capcom,Capcom
4,The California Raisins: The Grape Escape,1991[10],Radiance,Capcom
5,Chip's Challenge,1992[11],Epyx,Nintendo
6,Empire City: 1931 (Localized version),1989,Seibu Kaihatsu,Acclaim Entertainment
7,Hellraiser,1990,Color Dreams,Color Dreams
8,Hoppin' Mad,1989,Elite Systems,Elite Systems
9,Nekketsu Kunio-Kun Zukan,1993[12],Technōs Japan,Technōs Japan
10,SimCity,1991[13],Maxis,Nintendo
11,Street Fighter,1989,Pacific Dataworks International,Capcom
12,Street Fighter II: The World Warrior,1993[14],Capcom,Capcom
13,Super Pitfall II (Localization of Atlantis No Nazo),1989[15],"Sunsoft, Activision",Activision
14,Super Rescue,1989[16],CSG Imagesoft,
15,Super Sushi Pinball,1989[16],CSG Imagesoft,
16,T&C II: Roller Thrasher,1989,Zippo Games,LJN
17,Ultimate Journey,1991[17],Bandai,Bandai
