,Title[2][3],Publisher[2][3],Year[2][3]
0,2-in-1 Cosmocop / Cyber Monster,Sachen,1993
1,2-in-1 Tough Cop / Super Tough Cop,Sachen,1993
2,2 Turn Pair,Hwang Shinwei,1991
3,3D Block,Hwang Shinwei,1989/1990
4,Action 52,Active Enterprises,1991
5,The Adventures of Captain Comic,Color Dreams,1989
6,After Burner,Tengen,1989
7,Alien Syndrome,Tengen,1989
8,Auto Upturn,Sachen,1991
9,Baby Boomer,Color Dreams,1989
10,Balda,A. Chudov,1997
11,BB Car,Hwang Shinwei,1991
12,Bee 52,Camerica,1992
13,Bible Adventures,Wisdom Tree,1991
14,Bible Buffet,Wisdom Tree,1993
15,Big Nose Freaks Out,Camerica,1992
16,Big Nose the Caveman,Camerica,1991
17,Bingo 75,Sachen,1990
18,Blackjack,American Video Entertainment,1992
19,Block Force,Hwang Shinwei,1990
20,Blood of Jurassic,Shanghai Paradise,1997
21,Brush Roller,Hwang Shinwei,1990
22,Bubble Bath Babes,Panesian,1991
23,Caltron 6 in 1,Caltron,1992
24,Castle of Deceit,Bunch Games,1990
25,Challenge of the Dragon,Color Dreams,1990
26,Chess Academy,Sachen,1991
27,Cheetahmen II,Active Enterprises,1996
28,Chiller,American Game Cartridges (NA)HES (AU),1990
29,China Chess,Hwang Shinwei,Unknown
30,Chinese Checkers,Sachen,1991
31,Chinese Kung Fu,Sachen,1989
32,Crystal Mines,Color Dreams,1989
33,Dancing Block,Sachen,1990
34,Death Race,American Game Cartridges,1990
35,Deathbots,American Video Entertainment,1990
36,Decathlon,C&E,1992
37,Dizzy the Adventurer,Codemasters,1993
38,Double Strike,American Video Entertainment (NA)HES (AU),1990
39,Dragon Ball Z 5,SuperTone Electronics,1995
40,Duck Maze,HES,1990
41,Dudes with Attitude,American Video Entertainment,1990
42,Elfland,Tip Top,1992
43,Exodus,Wisdom Tree,1991
44,F-15 City War,American Video Entertainment (NA)HES (AU),1990
45,F18 Race,Hwang Shinwei,1990
46,F-22 aka Navigator,Shanghai Paradise,November 1997
47,The Fantastic Adventures of Dizzy,Camerica (NA)Codemasters (EU),1991
48,Fantasy Zone,Tengen,1989
49,Feng Shen Bang,C&E,1995
50,Final Combat,Sachen,1992
51,Firehawk,Camerica,1991
52,Fortune,A. Chudov,1996
53,Frog Adventure,Sachen,1992
54,Frog River,Hwang Shinwei,1990
55,Gaiapolis,Sachen,1990
56,Galactic Crusader,Bunch Games,1990
57,Gauntlet[a],Tengen,1989
58,Gluk the Thunder Warrior,Gluk,1992
59,The Great Wall,Sachen,1992
60,Happy Pairs,Sachen,1991
61,Hell Fighter,Sachen,1991
62,Hidden Chinese Chess,Joy Van,1989
63,Honey Peach,Sachen,1990
64,Hot Slots,Panesian,1991
65,Huge Insect,Sachen,1993
66,Impossible Mission II,American Video Entertainment,1990
67,Incantation,Joy Van,1989
68,Indiana Jones and the Temple of Doom[a],Tengen,1989
69,Jing Ke Xin Zhuan,SuperTone Electronics,1992
70,Joshua & the Battle of Jericho,Wisdom Tree,1992
71,Jovial Race,Joy Van,1989
72,Jurassic Boy,Sachen,1990
73,Kart Fighter,Ge De Industry Co.,1993
74,King Neptune's Adventure,Color Dreams,1990
75,King of Kings: The Early Years,Wisdom Tree,1991
76,Klax,Tengen,1990
77,Krazy Kreatures,American Video Entertainment,1990
78,Linus Spacehead's Cosmic Crusade,Camerica,1992
79,Little Red Hood,HES,1989
80,Locksmith,Sachen,1991
81,Lucky 777,Sachen,1989
82,Magic Cube,Sachen,1991
83,Magic Jewelry,Hwang Shinwei,1990
84,Magic Jewelry II,Hwang Shinwei,1991
85,Magical Mathematics,Sachen,1990
86,Magical Tower,Tin Chen,1992
87,Mahjong Academy,Sachen,1992
88,Mahjong Trap,Sachen,1990
89,Mahjong Trap Plus,Sachen,1990
90,The Mahjong World,Sachen,1990
